"case_id","split","gold_page","evidence_id","source_authority","section","evidence_role","requirement","exact_text_preview","v1_rank","v2_rank","v21_rank","diagnosis"
"ipo_2020_01942","historical_development","335","ipo_2020_01942:precommercial_product:10","accountants_report","","primary","required","5. 收益 截至3月31日止年度 截至9月30日止 六個月 2017年 2018年 2019年 2018年 2019年 千令吉 千令吉 千令吉 千令吉 千令吉 （未經審核） 國際財務報告準則第15號項下的 客戶合約收益 銷售光學產品 —予零售客戶. . . . . . . . . . . . 96,594 111,360 131,362 59,561 73,516 —予特許經營人. . . . . . . . . . 2,081 1,050 1,209 607 762 —予聯","","","","product_sales_vocabulary_gap"
"ipo_2020_02057","historical_development","324","ipo_2020_02057:precommercial_product:11","accountants_report","","primary","required","收入分拆 截至12月31日止年度 截至6月30日止六個月 2017年 2018年 2019年 2019年 2020年 人民幣 % 人民幣 % 人民幣 % 人民幣 % 人民幣 美元 % （千元） （未經審計） 快遞服務 12,173,690 93.2 15,400,080 87.5 19,606,214 88.7 8,823,274 88.3 8,947,074 1,266,376 86.7 貨運代理服務 269,557 2.1 1,278,741 7.3 1,235,961 ","","","","revenue_disaggregation_heading_gap"
"ipo_2020_02135","historical_development","210","ipo_2020_02135:precommercial_product:9","business_section","","primary","required","我們的商業模式 我們的收益主要來自提供醫療美容服務，主要包括(i)美容外科服務；(ii)微創美容服務； 及(iii)皮膚美容服務（主要包括各種能量診療）。我們亦自2017年12月起開始提供醫療美容管 理諮詢服務。","","","","business_revenue_model_phrase_gap"
"ipo_2020_02599","historical_development","223","ipo_2020_02599:precommercial_product:10","business_section","","primary","required","於往績記錄期間，我們的收益主要來自開發及銷售住宅物業及商業物業。我們亦自管理諮詢服務、物業租賃、酒店服務以及物業管理服務產生收益。下表載列於所示期間按業務門類劃分的收益明細，按絕對金額及佔總收益百分比計。 截至十二月三十一日止年度 截至四月三十日止四個月 二零一七年 二零一八年 二零一九年 二零一九年 二零二零年 人民幣千元 % 人民幣千元 % 人民幣千元 % 人民幣千元 % 人民幣千元 % （未經審核） 物業開發及銷售 .... 6,165,676 98.0 14,077,","","","","business_revenue_model_phrase_gap"
"ipo_2020_03347","locked_validation","329","ipo_2020_03347:precommercial_product:16","financial_information","","supporting","required","我們提供(i)臨床試驗技術服務以及(ii)臨床試驗相關服務及實驗室服務，範圍主 要涵蓋藥物及醫療器械的臨床前研究至上市後研究。我們的收入產生自向中國及海外 客戶提供生物製藥研發服務而收取的費用。","","","","business_revenue_model_phrase_gap"
"ipo_2020_06063","locked_validation","103","ipo_2020_06063:precommercial_product:25","business_section","","primary","required","我 們 是 於 香 港 從 事 提 供 外 牆 工 程 及 建 築 金 屬 飾 面 工 程 項 目 設 計、供 應 及 安 裝 服 務 的 分 包 商。我 們 的 歷 史 起 源 自 二 零 零 七 年，當 時，朱 先 生 成 立 本 集 團 的 唯 一 經 營 附 屬 公 司 弘 建 營 造（香 港），藉 以 在 香 港 提 供 外 牆 工 程 及 建 築 金 屬 飾 面 工 程 服 務。","","","","service_business_identity_gap"
"ipo_2020_06063","locked_validation","103","ipo_2020_06063:precommercial_product:26","business_section","","supporting","required","憑 藉 逾 十 年 經 驗，我 們 於 香 港 已 完 成 多 個 商 業 物 業、 住 宅 物 業 以 及 公 共 設 施 的 外 牆 工 程 及 建 築 金 屬 飾 面 工 程 項 目。","","","","service_business_identity_gap"
"ipo_2020_06618","development","447","ipo_2020_06618:precommercial_product:12","accountants_report","","primary","required","5. 收入 (a) 客戶合同收入細分： 截至12月31日止年度 截至6月30日止六個月 2017年 2018年 2019年 2019年 2020年 人民幣千元 人民幣千元 人民幣千元 人民幣千元 人民幣千元 （未經審計） 商品或服務類型： 商品收入： 醫藥和健康產品銷售 . . . . . . . . 4,907,244 7,254,582 9,434,984 4,365,153 7,693,261","","","","revenue_disaggregation_heading_gap"
"ipo_2020_06688","locked_validation","173","ipo_2020_06688:precommercial_product:11","business_section","","primary","required","截至2020年6月30日止12個月期間，通過我們平台完成的中國內地總支付交易規模達到人民幣118萬億元。我們的數字支付服務收入主要是按照交易金額的一定百分比向商家收取的交易服務費。","","","","business_revenue_model_phrase_gap"
"ipo_2020_06900","development","609","ipo_2020_06900:precommercial_product:10","accountants_report","","primary","required","截至12月31日止年度 截至4月30日止四個月 2017年 2018年 2019年 2019年 2020年 人民幣千元 人民幣千元 人民幣千元 人民幣千元 人民幣千元 （未經審核） 貨品或服務類型： 物業銷售 1,169,137 6,789,127 7,449,198 1,129,572 1,124,182","","","","revenue_disaggregation_heading_gap"
