case_id,risk_code,re_audit_status,finding_code,current_status,current_level,recomputed_level,backfill_method,evidence_count,source_fields_json,canonical_inputs_json,message
ipo_2020_00368,cash_runway,PASS,PASS,verified,critical,critical,legacy_structured_fact_normalization,3,"[""cash_and_cash_equivalents_cfs"", ""net_cash_used_in_operating_activities"", ""months_in_period""]","{""cash"": 9529.0, ""net_cash_used_in_operating_activities"": -58342.0, ""period"": ""year ended 31 December 2019"", ""period_months"": 12.0}",Stored label agrees with frozen deterministic rule.
ipo_2020_00368,customer_concentration,PASS,PASS,verified,high,high,legacy_structured_fact_normalization,2,"[""total_revenue"", ""largest_customer_revenue"", ""total_revenue"", ""top_five_customer_revenue""]","{""largest_customer_pct"": 45.72282724263447, ""top_five_customer_pct"": 96.9674812741855}",Stored label agrees with frozen deterministic rule.
ipo_2020_01167,continuous_loss,PASS,PASS,verified,medium,medium,legacy_structured_fact_normalization,1,"[""comparable_full_year_periods"", ""loss"", ""comparable_full_year_periods"", ""loss""]","{""loss_periods"": [{""loss"": -155935.0, ""period"": ""year ended 2018-12-31""}, {""loss"": -425817.0, ""period"": ""year ended 2019-12-31""}]}",All comparable duration groups imply the same continuous-loss level.
ipo_2020_01167,revenue_growth,POLICY_AMBIGUITY,REVENUE_GROWTH_DENOMINATOR_NONPOSITIVE,needs_review,,,legacy_structured_fact_normalization,1,"[""prior_period_revenue"", ""current_period_revenue""]",{},
ipo_2020_01167,customer_concentration,POLICY_AMBIGUITY,OPEN_01_ZERO_REVENUE_CONCENTRATION,needs_review,,,legacy_structured_fact_normalization,1,[],{},Customer concentration denominator is zero; OPEN-01 remains unresolved.
ipo_2020_01408,customer_concentration,PASS,PASS,verified,high,high,legacy_structured_fact_normalization,4,"[""total_revenue"", ""largest_customer_revenue"", ""total_revenue"", ""top_five_customer_revenue""]","{""largest_customer_pct"": 85.91511553604188, ""top_five_customer_pct"": 97.29144765320635}",Stored label agrees with frozen deterministic rule.
ipo_2020_01408,supplier_concentration,PASS,PASS,verified,high,high,legacy_structured_fact_normalization,5,"[""total_supplier_purchases"", ""largest_supplier_purchases"", ""total_supplier_purchases"", ""top_five_supplier_purchases""]","{""largest_supplier_pct"": 51.05255820437753, ""top_five_supplier_pct"": 82.01589293182768}",Stored label agrees with frozen deterministic rule.
ipo_2020_01961,revenue_growth,PASS,PASS,verified,medium,medium,legacy_structured_fact_normalization,2,"[""previous_revenue"", ""current_revenue""]","{""current_revenue"": 142979.0, ""previous_revenue"": 170654.0}",Stored label agrees with frozen deterministic rule.
ipo_2020_01961,supplier_concentration,PASS,PASS,verified,medium,medium,legacy_structured_fact_normalization,2,"[""total_supplier_purchases"", ""largest_supplier_purchases"", ""total_supplier_purchases"", ""top_five_supplier_purchase_sum""]","{""largest_supplier_pct"": 34.35057960816266, ""top_five_supplier_pct"": 78.33043220621457}",Stored label agrees with frozen deterministic rule.
ipo_2020_02135,revenue_growth,PASS,PASS,verified,high,high,legacy_structured_fact_normalization,1,"[""previous_revenue"", ""current_revenue""]","{""current_revenue"": 58730.0, ""previous_revenue"": 92081.0}",Stored label agrees with frozen deterministic rule.
ipo_2020_02263,supplier_concentration,INSUFFICIENT_INPUT,PHASE2B_CONCENTRATION_FACTS_STILL_INSUFFICIENT,needs_review,,,legacy_structured_fact_normalization,1,[],{},
