case_id,stock_code,risk_code,gold_page,evidence_role,requirement,source_authority,section,evidence_id,annotation_file,exact_text_preview,parser_page_present,parser_text_severe_miss,v1_rank,v1_candidate_hit,v1_miss_type,v2_rank,v2_candidate_hit,v2_miss_type,v21_rank,v21_candidate_hit,v21_miss_type,best_rank,partial_completion,miss_type,underlying_miss_type
ipo_2020_00368,0368.HK,cash_runway,314,primary,required,accountants_report,,ipo_2020_00368:cash_runway:0,expert_results\ipo_2020_00368\pass1\expert_annotation_v1.json,"經 營 所 得╱（所 用）現 金 淨 額 74,086 31,362 (58,342) 已 付 所 得 稅 (12,747) (5,172) — 經 營 活 動 所 得╱（所 用） 現 金 淨 額 61,339 26,190 (58,342)",True,False,2,True,hit,2,True,hit,4,True,hit,2,False,hit,hit
ipo_2020_00368,0368.HK,cash_runway,316,primary,required,accountants_report,,ipo_2020_00368:cash_runway:1,expert_results\ipo_2020_00368\pass1\expert_annotation_v1.json,"現 金 及 現 金 等 價 物（減 少）╱ 增 加 淨 額 (9,558) (6,641) 16,527 年 初 現 金 及 現 金 等 價 物 9,201 (357) (6,998) 年 末 現 金 及 現 金 等 價 物 21 (357) (6,998) 9,529",True,False,1,True,hit,1,True,hit,3,True,hit,1,False,hit,hit
ipo_2020_00368,0368.HK,continuous_loss,309,primary,required,accountants_report,,ipo_2020_00368:continuous_loss:3,expert_results\ipo_2020_00368\pass1\expert_annotation_v1.json,"除 所 得 稅 前 溢 利 36,515 47,843 41,816 所 得 稅 開 支 11 (5,882) (7,674) (8,141) 貴 公 司 擁 有 人 應 佔 年 內 溢 利 及 全 面 收 益 總 額 30,633 40,169 33,675",True,False,4,True,hit,4,True,hit,4,True,hit,4,False,hit,hit
ipo_2020_00368,0368.HK,revenue_growth,309,primary,required,accountants_report,,ipo_2020_00368:revenue_growth:4,expert_results\ipo_2020_00368\pass1\expert_annotation_v1.json,"綜 合 全 面 收 益 表 截 至 十 二 月 三 十 一 日 止 年 度 二 零 一 七 年 二 零 一 八 年 二 零 一 九 年 附 註 千 港 元 千 港 元 千 港 元 收 益 5 552,652 768,145 879,401",True,False,14,True,ranking_miss,13,True,ranking_miss,24,True,ranking_miss,13,False,ranking_miss,ranking_miss
ipo_2020_00368,0368.HK,customer_concentration,136,primary,required,business_section,,ipo_2020_00368:customer_concentration:5,expert_results\ipo_2020_00368\pass1\expert_annotation_v1.json,"截 至 二 零 一 九 年 十 二 月 三 十 一 日 止 年 度 排 名 客 戶 客 戶 類 型 本 集 團 所 提 供 服 務 業 務 關 係 開 始 的 年 份 一 般 付 款 期 及 支 付 方 式 已 確 認 收 益 佔 總 收 益% 千 港 元 1 新鴻基集團（附註2） 地 產 發 展 商 裝 修 服 務 以 及 維 修 及 保 養 服 務 二 零 零 四 年 於 我 們 作 出 付 款 申 請 後 約30日； 支 票 402,087 45.7 2 新世界集團（附",True,False,,False,candidate_miss,9,True,ranking_miss,26,True,ranking_miss,9,False,ranking_miss,ranking_miss
ipo_2020_00368,0368.HK,customer_concentration,309,primary,required,accountants_report,,ipo_2020_00368:customer_concentration:6,expert_results\ipo_2020_00368\pass1\expert_annotation_v1.json,"收 益 5 552,652 768,145 879,401",True,False,,False,candidate_miss,20,True,ranking_miss,19,True,ranking_miss,19,False,ranking_miss,ranking_miss
ipo_2020_00368,0368.HK,supplier_concentration,140,primary,required,business_section,,ipo_2020_00368:supplier_concentration:7,expert_results\ipo_2020_00368\pass1\expert_annotation_v1.json,"截 至 二 零 一 七 年 十 二 月 三 十 一 日 止 年 度 1 穎 安（附 註1） 木 材、石 材、 金 屬 及 門、家 具 及 配 件 二 零 一 六 年 於 供 應 商 開 具 發 票 後 約30日；銀 行 轉 賬 或 支 票 60,924 17.4 2 創 新 工 程 木 材、金 屬 及 門、家 具 及 配 件 二 零 一 零 年 於 供 應 商 開 具 發 票 後 約30日；銀 行 轉 賬 或 支 票 55,955 15.9 3 供 應 商C（附 註2） 瓷 ",True,False,3,True,hit,4,True,hit,2,True,hit,2,True,hit,hit
ipo_2020_00368,0368.HK,supplier_concentration,141,primary,required,business_section,,ipo_2020_00368:supplier_concentration:8,expert_results\ipo_2020_00368\pass1\expert_annotation_v1.json,"截 至 二 零 一 八 年 十 二 月 三 十 一 日 止 年 度 1 穎 安（附 註1） 木 材、石 材、 金 屬 及 門、 家 具 及 配 件 二 零 一 六 年 於 供 應 商 開 具 發 票 後 約30日；銀 行 轉 賬 或 支 票 95,739 19.0 2 創 新 工 程 木 材、金 屬 及 門、家 具 及 配 件 二 零 一 零 年 於 供 應 商 開 具 發 票 後 約30日；銀 行 轉 賬 或 支 票 81,159 16.1 3 供 應 商C（附 註2） 瓷",True,False,,False,candidate_miss,10,True,ranking_miss,27,True,ranking_miss,10,True,partial_completion,ranking_miss
ipo_2020_00368,0368.HK,supplier_concentration,142,primary,required,business_section,,ipo_2020_00368:supplier_concentration:9,expert_results\ipo_2020_00368\pass1\expert_annotation_v1.json,"截 至 二 零 一 九 年 十 二 月 三 十 一 日 止 年 度 1 穎 安（附 註1） 木 材、石 材、金 屬 及 門、家 具 及 配 件 二 零 一 六 年 於 供 應 商 開 具 發 票 後 約30日；銀 行 轉 賬 或 支 票 79,574 11.5 2 創 新 工 程 木 材、金 屬 及 門、 家 具 及 配 件 二 零 一 零 年 於 供 應 商 開 具 發 票 後 約30日；銀 行 轉 賬 或 支 票 63,729 9.2 3 供 應 商G（附 註6） 瓷 磚",True,False,,False,candidate_miss,22,True,ranking_miss,28,True,ranking_miss,22,True,partial_completion,ranking_miss
ipo_2020_00368,0368.HK,redemption_rights,93,primary,required,corporate_structure,,ipo_2020_00368:redemption_rights:10,expert_results\ipo_2020_00368\pass1\expert_annotation_v1.json,"Fate Investment於 二 零 一 九 年 七 月 十 日 根 據 英 屬 維 爾 京 群 島 法 律 註 冊 成 立 為 有 限 公 司，並 獲 授 權 發 行 最 多50,000股 無 面 值 的 股 份。於 二 零 一 九 年 七 月 十 日，一 股 Fate Investment繳 足 股 款 股 份（相 當 於Fate Investment的 全 部 已 發 行 股 份）配 發 及 發 行 予 吳 先 生。因 此，Fate Investment於 其 註 ",True,False,,False,candidate_miss,,False,candidate_miss,,False,candidate_miss,,False,candidate_miss,candidate_miss
