case_id,risk_code,page,evidence_role,requirement,source_authority,confidence,evidence_id,gold_label,judgement_status,annotation_source,audit_status,audit_resolution
ipo_2020_00368,cash_runway,314,primary,required,accountants_report,1.0,ipo_2020_00368:cash_runway:0,3,JUDGED,expert_results\ipo_2020_00368\pass1\expert_annotation_v1.json,available,financial_resolution_v1.json:CLOSED|CONFIRM_EXISTING|CANONICAL_INPUTS_CONFIRM_LABEL|DETERMINISTIC
ipo_2020_00368,cash_runway,316,primary,required,accountants_report,1.0,ipo_2020_00368:cash_runway:1,3,JUDGED,expert_results\ipo_2020_00368\pass1\expert_annotation_v1.json,available,financial_resolution_v1.json:CLOSED|CONFIRM_EXISTING|CANONICAL_INPUTS_CONFIRM_LABEL|DETERMINISTIC
ipo_2020_00368,cash_runway,350,cross_check,supporting_only,accountants_report,1.0,ipo_2020_00368:cash_runway:2,1,JUDGED,expert_results\ipo_2020_00368\pass1\expert_annotation_v1.json,available,financial_resolution_v1.json:CLOSED|CONFIRM_EXISTING|CANONICAL_INPUTS_CONFIRM_LABEL|DETERMINISTIC
ipo_2020_00368,continuous_loss,309,primary,required,accountants_report,1.0,ipo_2020_00368:continuous_loss:3,3,JUDGED,expert_results\ipo_2020_00368\pass1\expert_annotation_v1.json,available,financial_resolution_v1.json:CLOSED|CONFIRM_EXISTING|CANONICAL_INPUTS_CONFIRM_LABEL|DETERMINISTIC
ipo_2020_00368,revenue_growth,309,primary,required,accountants_report,1.0,ipo_2020_00368:revenue_growth:4,3,JUDGED,expert_results\ipo_2020_00368\pass1\expert_annotation_v1.json,available,financial_resolution_v1.json:CLOSED|CONFIRM_EXISTING|CANONICAL_INPUTS_CONFIRM_LABEL|DETERMINISTIC
ipo_2020_00368,customer_concentration,136,primary,required,business_section,0.99,ipo_2020_00368:customer_concentration:5,3,JUDGED,expert_results\ipo_2020_00368\pass1\expert_annotation_v1.json,available,financial_resolution_v1.json:CLOSED|CONFIRM_EXISTING|CANONICAL_INPUTS_CONFIRM_LABEL|DETERMINISTIC
ipo_2020_00368,customer_concentration,309,primary,required,accountants_report,1.0,ipo_2020_00368:customer_concentration:6,3,JUDGED,expert_results\ipo_2020_00368\pass1\expert_annotation_v1.json,available,financial_resolution_v1.json:CLOSED|CONFIRM_EXISTING|CANONICAL_INPUTS_CONFIRM_LABEL|DETERMINISTIC
ipo_2020_00368,supplier_concentration,140,primary,required,business_section,0.99,ipo_2020_00368:supplier_concentration:7,3,JUDGED,expert_results\ipo_2020_00368\pass1\expert_annotation_v1.json,available,financial_resolution_v1.json:CLOSED|SET_REVIEW_STATE|EVIDENCE_LIMITED_FINAL_REVIEW_STATE|REVIEW_STATE
ipo_2020_00368,supplier_concentration,141,primary,required,business_section,0.99,ipo_2020_00368:supplier_concentration:8,3,JUDGED,expert_results\ipo_2020_00368\pass1\expert_annotation_v1.json,available,financial_resolution_v1.json:CLOSED|SET_REVIEW_STATE|EVIDENCE_LIMITED_FINAL_REVIEW_STATE|REVIEW_STATE
ipo_2020_00368,supplier_concentration,142,primary,required,business_section,0.99,ipo_2020_00368:supplier_concentration:9,3,JUDGED,expert_results\ipo_2020_00368\pass1\expert_annotation_v1.json,available,financial_resolution_v1.json:CLOSED|SET_REVIEW_STATE|EVIDENCE_LIMITED_FINAL_REVIEW_STATE|REVIEW_STATE
