case_id,risk_code,gold_page,requirement,evidence_role,source_authority,v1_rank,v2_rank,v21_rank,stage1_rank,llm_rank,delta_stage1_to_llm,official_task_status,classification
ipo_2020_00368,cash_runway,314,required,primary,accountants_report,2,2,4,2,2,0,completed,UNCHANGED_HEAD
ipo_2020_00368,cash_runway,316,required,primary,accountants_report,1,1,3,1,1,0,completed,UNCHANGED_HEAD
ipo_2020_00368,continuous_loss,309,required,primary,accountants_report,4,4,4,4,1,3,completed,RECOVERED_TO_TOP3
ipo_2020_00368,revenue_growth,309,required,primary,accountants_report,14,13,,15,2,13,completed,DEEP_GAIN
ipo_2020_00368,customer_concentration,136,required,primary,business_section,,9,,9,9,0,failed,UNCHANGED_HEAD
ipo_2020_00368,customer_concentration,309,required,primary,accountants_report,,20,19,,,,failed,NOT_IN_STAGE1
ipo_2020_00368,supplier_concentration,140,required,primary,business_section,3,4,2,3,2,1,completed,UNCHANGED_HEAD
ipo_2020_00368,supplier_concentration,141,required,primary,business_section,,10,,10,3,7,completed,RECOVERED_TO_TOP3
ipo_2020_00368,supplier_concentration,142,required,primary,business_section,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_00368,redemption_rights,93,required,primary,corporate_structure,,,,,,,failed,NOT_IN_STAGE1
ipo_2020_00368,redemption_rights,94,required,primary,corporate_structure,,,,,,,failed,NOT_IN_STAGE1
ipo_2020_00368,material_litigation_compliance,165,required,primary,legal_disclosure,4,6,4,4,2,2,completed,RECOVERED_TO_TOP3
ipo_2020_00368,precommercial_product,97,required,primary,business_section,,,5,,,,completed,NOT_IN_STAGE1
ipo_2020_01167,cash_runway,425,required,primary,accountants_report,2,2,3,2,4,-2,completed,DEMOTED_FROM_TOP3
ipo_2020_01167,cash_runway,453,required,supporting,accountants_report,3,3,4,3,8,-5,completed,DEMOTED_FROM_TOP3
ipo_2020_01167,continuous_loss,416,required,primary,accountants_report,5,6,1,5,1,4,completed,RECOVERED_TO_TOP3
ipo_2020_01167,revenue_growth,294,required,primary,financial_information,17,17,,17,2,15,completed,DEEP_GAIN
ipo_2020_01167,customer_concentration,294,required,primary,financial_information,,5,3,5,2,3,completed,RECOVERED_TO_TOP3
ipo_2020_01167,supplier_concentration,287,required,primary,business_section,2,2,2,2,1,1,completed,UNCHANGED_HEAD
ipo_2020_01167,redemption_rights,204,required,primary,pre_ipo_investment,4,4,4,4,1,3,completed,RECOVERED_TO_TOP3
ipo_2020_01167,material_litigation_compliance,291,required,primary,legal_disclosure,7,10,7,10,10,0,failed,UNCHANGED_HEAD
ipo_2020_01167,precommercial_product,225,required,primary,business_section,14,,14,20,9,11,completed,UNCHANGED_HEAD
ipo_2020_01167,precommercial_product,294,required,supporting,financial_information,8,16,11,13,4,9,completed,DEEP_GAIN
ipo_2020_01408,cash_runway,394,required,primary,accountants_report,2,2,3,2,9,-7,completed,DEMOTED_FROM_TOP3
ipo_2020_01408,cash_runway,395,required,supporting,accountants_report,3,3,4,3,3,0,completed,UNCHANGED_HEAD
ipo_2020_01408,continuous_loss,390,required,primary,accountants_report,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_01408,revenue_growth,390,required,primary,accountants_report,10,10,16,10,1,9,completed,RECOVERED_TO_TOP3
ipo_2020_01408,customer_concentration,390,required,primary,accountants_report,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_01408,customer_concentration,174,required,supporting,business_section,19,9,11,9,5,4,completed,RECOVERED_TO_TOP5
ipo_2020_01408,customer_concentration,175,required,supporting,business_section,2,2,2,2,2,0,completed,UNCHANGED_HEAD
