case_id,risk_code,phase1_status,phase1_finding_code,priority,closure_status,resolution_class,action,policy_code,current_state_json,resolved_state_json,evidence_count,message
ipo_2020_00368,cash_runway,INSUFFICIENT_INPUT,CASH_RECOMPUTE_INPUTS_INSUFFICIENT,P0_POSITIVE_OR_NEEDS_REVIEW,CLOSED,DETERMINISTIC,CONFIRM_EXISTING,CANONICAL_INPUTS_CONFIRM_LABEL,"{""applicable"": true, ""expected_level"": ""critical"", ""expected_status"": ""verified""}","{""applicable"": true, ""expected_level"": ""critical"", ""expected_status"": ""verified""}",3,
ipo_2020_00368,continuous_loss,INSUFFICIENT_INPUT,LOSS_PERIODS_MISSING,P1_REJECTED_LABEL_BACKFILL,CLOSED,DETERMINISTIC,CONFIRM_EXISTING,CANONICAL_INPUTS_CONFIRM_LABEL,"{""applicable"": false, ""expected_level"": ""not_applicable"", ""expected_status"": ""rejected""}","{""applicable"": false, ""expected_level"": ""not_applicable"", ""expected_status"": ""rejected""}",1,
ipo_2020_00368,revenue_growth,INSUFFICIENT_INPUT,REVENUE_RECOMPUTE_INPUTS_INSUFFICIENT,P1_REJECTED_LABEL_BACKFILL,CLOSED,DETERMINISTIC,CONFIRM_EXISTING,CANONICAL_INPUTS_CONFIRM_LABEL,"{""applicable"": false, ""expected_level"": ""not_applicable"", ""expected_status"": ""rejected""}","{""applicable"": false, ""expected_level"": ""not_applicable"", ""expected_status"": ""rejected""}",1,
ipo_2020_00368,customer_concentration,INSUFFICIENT_INPUT,CONCENTRATION_RECOMPUTE_INPUTS_INSUFFICIENT,P0_POSITIVE_OR_NEEDS_REVIEW,CLOSED,DETERMINISTIC,CONFIRM_EXISTING,CANONICAL_INPUTS_CONFIRM_LABEL,"{""applicable"": true, ""expected_level"": ""high"", ""expected_status"": ""verified""}","{""applicable"": true, ""expected_level"": ""high"", ""expected_status"": ""verified""}",2,
ipo_2020_00368,supplier_concentration,INSUFFICIENT_INPUT,CONCENTRATION_RECOMPUTE_INPUTS_INSUFFICIENT,P1_REJECTED_LABEL_BACKFILL,CLOSED,REVIEW_STATE,SET_REVIEW_STATE,EVIDENCE_LIMITED_FINAL_REVIEW_STATE,"{""applicable"": false, ""expected_level"": ""not_applicable"", ""expected_status"": ""rejected""}","{""applicable"": true, ""expected_level"": null, ""expected_status"": ""needs_review""}",3,"Existing cited evidence does not support a frozen numeric threshold proof. The correct closed state is needs_review, not an invented number."
ipo_2020_01167,continuous_loss,INSUFFICIENT_INPUT,LOSS_PERIODS_MISSING,P0_POSITIVE_OR_NEEDS_REVIEW,CLOSED,DETERMINISTIC,CONFIRM_EXISTING,CANONICAL_INPUTS_CONFIRM_LABEL,"{""applicable"": true, ""expected_level"": ""medium"", ""expected_status"": ""verified""}","{""applicable"": true, ""expected_level"": ""medium"", ""expected_status"": ""verified""}",1,
ipo_2020_01167,revenue_growth,INSUFFICIENT_INPUT,REVENUE_RECOMPUTE_INPUTS_INSUFFICIENT,P0_POSITIVE_OR_NEEDS_REVIEW,CLOSED,POLICY_RESOLVED,APPLY_AUDIT_OVERLAY_RELABEL,ZERO_BASE_NONDECLINE_EXCLUDES_NEGATIVE_GROWTH,"{""applicable"": true, ""expected_level"": null, ""expected_status"": ""needs_review""}","{""applicable"": false, ""expected_level"": ""not_applicable"", ""expected_status"": ""rejected""}",1,"With an exact zero base and non-negative current revenue, a negative-growth trigger cannot occur; no percentage is synthesized."
ipo_2020_01167,customer_concentration,INSUFFICIENT_INPUT,CONCENTRATION_RECOMPUTE_INPUTS_INSUFFICIENT,P0_POSITIVE_OR_NEEDS_REVIEW,CLOSED,POLICY_RESOLVED,APPLY_AUDIT_OVERLAY_RELABEL,ZERO_REVENUE_DENOMINATOR_NOT_APPLICABLE,"{""applicable"": true, ""expected_level"": null, ""expected_status"": ""needs_review""}","{""applicable"": false, ""expected_level"": ""not_applicable"", ""expected_status"": ""rejected""}",1,Exact zero revenue excludes a negative-growth/customer-concentration threshold test. Ratios remain null; no synthetic 0% ratio is created.
ipo_2020_01167,supplier_concentration,INSUFFICIENT_INPUT,CONCENTRATION_RECOMPUTE_INPUTS_INSUFFICIENT,P1_REJECTED_LABEL_BACKFILL,CLOSED,DETERMINISTIC,CONFIRM_EXISTING,CANONICAL_INPUTS_CONFIRM_LABEL,"{""applicable"": false, ""expected_level"": ""not_applicable"", ""expected_status"": ""rejected""}","{""applicable"": false, ""expected_level"": ""not_applicable"", ""expected_status"": ""rejected""}",1,
ipo_2020_01408,continuous_loss,INSUFFICIENT_INPUT,LOSS_PERIODS_MISSING,P1_REJECTED_LABEL_BACKFILL,CLOSED,REVIEW_STATE,SET_REVIEW_STATE,EVIDENCE_LIMITED_FINAL_REVIEW_STATE,"{""applicable"": false, ""expected_level"": ""not_applicable"", ""expected_status"": ""rejected""}","{""applicable"": true, ""expected_level"": null, ""expected_status"": ""needs_review""}",1,"Existing cited evidence does not support a frozen numeric threshold proof. The correct closed state is needs_review, not an invented number."
