case_id,risk_code,gold_page,requirement,evidence_role,source_authority,v1_rank,v2_rank,v21_rank,stage1_rank,llm_rank,delta_stage1_to_llm,official_task_status,classification
ipo_2020_00368,customer_concentration,309,required,primary,accountants_report,,20,19,,,,failed,NOT_IN_STAGE1
ipo_2020_00368,supplier_concentration,142,required,primary,business_section,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_00368,redemption_rights,93,required,primary,corporate_structure,,,,,,,failed,NOT_IN_STAGE1
ipo_2020_00368,redemption_rights,94,required,primary,corporate_structure,,,,,,,failed,NOT_IN_STAGE1
ipo_2020_00368,precommercial_product,97,required,primary,business_section,,,5,,,,completed,NOT_IN_STAGE1
ipo_2020_01408,continuous_loss,390,required,primary,accountants_report,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_01408,customer_concentration,390,required,primary,accountants_report,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_01408,supplier_concentration,269,required,primary,financial_information,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_01408,supplier_concentration,269,required,supporting,financial_information,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_01408,precommercial_product,127,required,primary,business_section,,,2,,,,completed,NOT_IN_STAGE1
ipo_2020_01961,continuous_loss,466,required,primary,accountants_report,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_01961,revenue_growth,466,required,primary,accountants_report,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_01961,supplier_concentration,237,required,primary,business_section,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_01961,supplier_concentration,466,required,supporting,accountants_report,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_01961,redemption_rights,150,required,primary,pre_ipo_investment,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_01961,material_litigation_compliance,270,required,primary,legal_disclosure,,,,,,,failed,NOT_IN_STAGE1
ipo_2020_01961,precommercial_product,167,required,primary,business_section,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_01942,customer_concentration,149,required,primary,business_section,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_01942,redemption_rights,191,required,supporting,corporate_structure,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_01942,precommercial_product,335,required,primary,accountants_report,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02057,cash_runway,307,required,primary,accountants_report,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02057,continuous_loss,301,required,primary,accountants_report,,,,,,,failed,NOT_IN_STAGE1
ipo_2020_02057,revenue_growth,300,required,primary,accountants_report,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02057,material_litigation_compliance,172,required,primary,legal_disclosure,,15,,,,,completed,NOT_IN_STAGE1
ipo_2020_02057,material_litigation_compliance,173,required,primary,legal_disclosure,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02057,precommercial_product,324,required,primary,accountants_report,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02135,precommercial_product,210,required,primary,business_section,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02263,revenue_growth,397,required,primary,accountants_report,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02263,customer_concentration,397,required,supporting,accountants_report,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02263,redemption_rights,107,required,primary,corporate_structure,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02263,redemption_rights,466,required,supporting,corporate_structure,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02263,material_litigation_compliance,212,required,primary,legal_disclosure,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02263,precommercial_product,111,required,primary,business_section,,,18,,,,completed,NOT_IN_STAGE1
ipo_2020_02263,precommercial_product,112,required,supporting,business_section,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02599,continuous_loss,602,required,primary,accountants_report,,,,,,,completed,NOT_IN_STAGE1
ipo_2020_02599,precommercial_product,223,required,primary,business_section,,,,,,,completed,NOT_IN_STAGE1
ipo_2021_00013,continuous_loss,507,required,primary,audited_financial_statement,,,,,,,completed,NOT_IN_STAGE1
ipo_2021_00013,continuous_loss,507,required,primary,audited_financial_statement,,,,,,,completed,NOT_IN_STAGE1
ipo_2021_00013,revenue_growth,507,required,primary,audited_financial_statement,,,,,,,completed,NOT_IN_STAGE1
ipo_2021_00013,revenue_growth,507,required,primary,audited_financial_statement,,,,,,,completed,NOT_IN_STAGE1
ipo_2021_00013,customer_concentration,507,required,supporting,audited_financial_statement,,,,,,,completed,NOT_IN_STAGE1
ipo_2021_00013,redemption_rights,133,required,primary,pre_ipo_investment,,,,,,,completed,NOT_IN_STAGE1
ipo_2021_00013,redemption_rights,133,required,primary,pre_ipo_investment,,,,,,,completed,NOT_IN_STAGE1
ipo_2021_00013,redemption_rights,432,required,cross_check,legal_disclosure,,,,,,,completed,NOT_IN_STAGE1
ipo_2021_00013,redemption_rights,433,required,cross_check,legal_disclosure,,,,,,,completed,NOT_IN_STAGE1
ipo_2021_00013,precommercial_product,542,required,primary,accountants_report,,,,,,,failed,NOT_IN_STAGE1
ipo_2021_00013,precommercial_product,542,required,primary,accountants_report,,,,,,,failed,NOT_IN_STAGE1
