case_id,risk_code,re_audit_status,finding_code,current_status,current_level,recomputed_level,backfill_method,evidence_count,source_fields_json,canonical_inputs_json,message
ipo_2020_01167,revenue_growth,POLICY_AMBIGUITY,REVENUE_GROWTH_DENOMINATOR_NONPOSITIVE,needs_review,,,legacy_structured_fact_normalization,1,"[""prior_period_revenue"", ""current_period_revenue""]",{},
ipo_2020_01167,customer_concentration,POLICY_AMBIGUITY,OPEN_01_ZERO_REVENUE_CONCENTRATION,needs_review,,,legacy_structured_fact_normalization,1,[],{},Customer concentration denominator is zero; OPEN-01 remains unresolved.
ipo_2020_02263,supplier_concentration,INSUFFICIENT_INPUT,PHASE2B_CONCENTRATION_FACTS_STILL_INSUFFICIENT,needs_review,,,legacy_structured_fact_normalization,1,[],{},
ipo_2020_02599,supplier_concentration,POLICY_AMBIGUITY,POLICY_AMBIGUITY_CONCENTRATION_PERIOD,verified,high,,legacy_structured_fact_normalization,1,"[""largest_supplier_pct"", ""top_five_supplier_pct"", ""largest_supplier_pct"", ""top_five_supplier_pct"", ""largest_supplier_pct"", ""top_five_supplier_pct"", ""largest_supplier_pct"", ""top_five_supplier_pct""]",{},Canonicalized periods imply different concentration states; latest-vs-any-period policy is not frozen.
ipo_2020_08489,revenue_growth,POLICY_AMBIGUITY,POLICY_AMBIGUITY_REVENUE_PERIOD_AGGREGATION,verified,high,,legacy_structured_fact_normalization,1,"[""comparisons"", ""prior_revenue"", ""current_revenue"", ""comparisons"", ""prior_revenue"", ""current_revenue"", ""comparisons"", ""prior_revenue"", ""current_revenue""]",{},Multiple comparable growth pairs imply different levels; aggregation/selection is not frozen.
ipo_2020_09600,customer_concentration,POLICY_AMBIGUITY,POLICY_AMBIGUITY_CONCENTRATION_PERIOD,verified,high,,legacy_structured_fact_normalization,1,"[""largest_customer_pct"", ""top_five_customers_pct"", ""largest_customer_pct"", ""top_five_customers_pct"", ""largest_customer_pct"", ""top_five_customers_pct"", ""largest_customer_pct"", ""top_five_customers_pct""]",{},Canonicalized periods imply different concentration states; latest-vs-any-period policy is not frozen.
ipo_2020_09600,supplier_concentration,POLICY_AMBIGUITY,POLICY_AMBIGUITY_CONCENTRATION_PERIOD,verified,high,,legacy_structured_fact_normalization,1,"[""largest_supplier_pct"", ""top_five_suppliers_pct"", ""largest_supplier_pct"", ""top_five_suppliers_pct"", ""largest_supplier_pct"", ""top_five_suppliers_pct"", ""largest_supplier_pct"", ""top_five_suppliers_pct""]",{},Canonicalized periods imply different concentration states; latest-vs-any-period policy is not frozen.
ipo_2021_00013,revenue_growth,POLICY_AMBIGUITY,POLICY_AMBIGUITY_REVENUE_PERIOD_AGGREGATION,verified,medium,,legacy_structured_fact_normalization,2,"[""periods"", ""revenue"", ""revenue"", ""periods"", ""revenue"", ""revenue""]",{},Multiple comparable growth pairs imply different levels; aggregation/selection is not frozen.
ipo_2021_01927,revenue_growth,POLICY_AMBIGUITY,POLICY_AMBIGUITY_REVENUE_PERIOD_AGGREGATION,verified,medium,,legacy_structured_fact_normalization,1,"[""comparisons"", ""prior_revenue"", ""current_revenue"", ""comparisons"", ""prior_revenue"", ""current_revenue"", ""comparisons"", ""prior_revenue"", ""current_revenue""]",{},Multiple comparable growth pairs imply different levels; aggregation/selection is not frozen.
ipo_2021_02137,revenue_growth,POLICY_AMBIGUITY,OPEN_01_ZERO_REVENUE_GROWTH,needs_review,,,legacy_structured_fact_normalization,2,"[""revenue_from"", ""revenue_to""]","{""zero_revenue_fields"": {""revenue_from"": 0, ""revenue_to"": 0}}",Zero-revenue growth denominator remains an open policy item.
ipo_2021_02137,customer_concentration,POLICY_AMBIGUITY,OPEN_01_ZERO_REVENUE_CONCENTRATION,needs_review,,,legacy_structured_fact_normalization,2,[],{},Customer concentration denominator is zero; OPEN-01 remains unresolved.
ipo_2021_02190,continuous_loss,POLICY_AMBIGUITY,COMPARABILITY_AMBIGUITY_CONTINUOUS_LOSS,verified,medium,,legacy_structured_fact_normalization,1,"[""comparable_periods"", ""loss"", ""comparable_periods"", ""loss""]",{},
ipo_2021_02215,supplier_concentration,POLICY_AMBIGUITY,POLICY_AMBIGUITY_CONCENTRATION_PERIOD,verified,medium,,legacy_structured_fact_normalization,2,"[""largest_supplier_pct"", ""top_five_suppliers_pct"", ""largest_supplier_pct"", ""top_five_suppliers_pct"", ""largest_supplier_pct"", ""top_five_suppliers_pct""]",{},Canonicalized periods imply different concentration states; latest-vs-any-period policy is not frozen.
ipo_2021_03658,customer_concentration,POLICY_AMBIGUITY,POLICY_AMBIGUITY_CONCENTRATION_PERIOD,verified,medium,,legacy_structured_fact_normalization,7,"[""total_revenue"", ""largest_customer_revenue"", ""total_revenue"", ""top_five_customer_revenues"", ""total_revenue"", ""largest_customer_revenue"", ""total_revenue"", ""top_five_customer_revenues"", ""total_revenue"", ""largest_customer_revenue"", ""total_revenue"", ""top_five_customer_revenues""]",{},Canonicalized periods imply different concentration states; latest-vs-any-period policy is not frozen.
ipo_2021_06628,supplier_concentration,POLICY_AMBIGUITY,POLICY_AMBIGUITY_CONCENTRATION_PERIOD,verified,medium,,legacy_structured_fact_normalization,1,"[""largest_supplier_pct"", ""top_five_suppliers_pct"", ""largest_supplier_pct"", ""top_five_suppliers_pct"", ""largest_supplier_pct"", ""top_five_suppliers_pct""]",{},Canonicalized periods imply different concentration states; latest-vs-any-period policy is not frozen.
ipo_2021_09898,revenue_growth,POLICY_AMBIGUITY,POLICY_AMBIGUITY_REVENUE_PERIOD_AGGREGATION,verified,medium,,legacy_structured_fact_normalization,1,"[""comparisons"", ""prior_revenue"", ""current_revenue"", ""comparisons"", ""prior_revenue"", ""current_revenue"", ""comparisons"", ""prior_revenue"", ""current_revenue""]",{},Multiple comparable growth pairs imply different levels; aggregation/selection is not frozen.
ipo_2021_09982,supplier_concentration,POLICY_AMBIGUITY,POLICY_AMBIGUITY_CONCENTRATION_PERIOD,verified,medium,,legacy_structured_fact_normalization,2,"[""largest_supplier_pct"", ""top_five_suppliers_pct"", ""largest_supplier_pct"", ""top_five_suppliers_pct"", ""largest_supplier_pct"", ""top_five_suppliers_pct""]",{},Canonicalized periods imply different concentration states; latest-vs-any-period policy is not frozen.
ipo_2022_02179,revenue_growth,POLICY_AMBIGUITY,OPEN_01_ZERO_REVENUE_GROWTH,needs_review,,,legacy_structured_fact_normalization,1,"[""vaccine_sales_revenue""]","{""zero_revenue_fields"": {""vaccine_sales_revenue"": 0}}",Zero-revenue growth denominator remains an open policy item.
ipo_2022_02179,customer_concentration,POLICY_AMBIGUITY,OPEN_01_ZERO_REVENUE_CONCENTRATION,needs_review,,,legacy_structured_fact_normalization,1,[],{},Customer concentration denominator is zero; OPEN-01 remains unresolved.
